;x;y;z;t
179;479;231;89.52400881;11.86610031
180;467;235;89.6946377;11.92306542
181;452;235;91.5819371;11.98714018
182;452;235;91.20237971;12.05908251
183;438;237;93.99968513;12.14502549
184;413;225;89.52400881;12.22041869
185;402;216;89.86622068;12.30079222
186;392;203;90.14276016;12.37589836
187;385;194;91.02324701;12.44688511
188;379;183;91.45490545;12.51883841
189;377;171;92.86234188;12.59888434
190;374;160;94.85472285;12.67962122
191;374;150;91.44585145;12.752002
192;373;141;93.90171775;12.83200383
193;374;133;93.90171775;12.91280437
194;374;126;94.46416692;12.96930218
195;373;126;94.93542182;13.03337836
196;376;120;94.37470428;13.11838317
197;375;118;95.41361516;13.1955421
198;374;118;92.90023925;13.26754713
199;374;119;94.46416692;13.33948421
200;373;122;93.43559411;13.42143822
201;372;125;91.98456246;13.48586583
202;371;129;92.97616982;13.56594849
203;370;135;92.52328675;13.63843918
204;369;142;90.57987655;13.71110606
205;369;151;90.14276016;13.76715231
206;369;163;90.14276016;13.83115029
207;370;176;90.14276016;13.89544344
208;369;189;89.71175292;13.96745753
209;368;204;88.7511591;14.04909062
210;367;215;89.65189137;14.11591911
211;364;232;89.63480951;14.19534016
212;364;234;90.52709527;14.26732612
213;363;234;90.09071953;14.31551933
214;361;233;90.09071953;14.39546323
215;360;230;90.55347467;14.48710155
216;360;230;91.45490545;14.5664196
217;359;226;91.45490545;14.63845038
218;357;220;91.91097299;14.71107697
219;353;206;91.91097299;14.79902601
220;349;196;94.3251097;14.87125373
221;349;194;92.90023925;14.91931415
222;346;184;92.39240588;14.99943805
223;341;169;92.4390869;15.08874035
224;337;156;91.02324701;15.16144109
225;332;144;92.4390869;15.25068951
226;328;132;93.43559411;15.32269359
227;325;123;95.52655299;15.39618826
228;321;115;95.52655299;15.48071432
229;319;109;95.52655299;15.55010581
230;318;104;95.05684743;15.614784
231;318;103;94.93542182;15.68936586
232;318;102;93.43559411;15.75243473
233;318;102;93.54181656;15.80841398
234;319;105;93.54181656;15.86470866
235;320;110;92.52328675;15.95270038
236;323;115;91.63653735;16.0316503
237;326;123;91.20237971;16.08668137
238;329;133;89.80605756;16.14263773
239;333;144;88.97594894;16.20705295
240;335;159;88.8675093;16.27207756
241;345;217;87.03416485;16.46642542
242;344;222;88.30651534;16.52353644
243;344;224;87.88443716;16.59777284
244;343;226;88.7677533;16.6795845
245;331;224;89.63480951;16.7542398
246;326;223;90.55347467;16.81776023
247;321;221;91.45490545;16.87457728
248;317;218;93.33933358;16.95459676
249;312;213;95.34194851;17.02124906
250;308;208;95.89891795;17.10066009
251;306;202;95.41361516;17.17741656
252;304;195;94.93542182;17.25127769
253;304;174;92.64530549;17.30489755
254;304;166;95.05684743;17.38565493
255;305;163;95.52655299;17.47468686
256;306;161;93.99968513;17.53991795
257;306;162;94.46416692;17.61191797
258;308;168;93.54181656;17.68391848
259;308;167;93.54181656;17.7406714
260;310;173;93.09040657;17.79754853
261;310;182;94.59382947;17.86156654
262;311;192;93.68723584;17.925565
263;312;210;93.99968513;17.99752498
264;312;213;94.59382947;18.06519198
265;311;229;96.97743987;18.13636708
266;308;235;95.89891795;18.20755768
267;308;235;93.3681813;18.29241872
268;307;238;95.34194851;18.36874628
269;305;240;95.31128237;18.44941282
270;302;239;95.31128237;18.52136183
271;299;238;96.33875227;18.58574271
272;295;235;96.89156599;18.64974666
273;291;233;97.98125167;18.73070478
274;286;231;99.62688155;18.80291653
275;281;229;100.154247;18.87487316
276;275;225;99.75504321;18.95608258
277;269;222;103.2661619;19.03684044
278;262;217;98.59605597;19.09373951
279;242;200;101.923141;19.13448143
280;237;195;103.2661619;19.18319178
281;232;190;104.5683558;19.24750924
282;230;186;106.4804176;19.33515906
283;228;183;106.255108;19.41615391
284;227;179;107.6282925;19.50542402
285;228;176;108.2159587;19.58572578
286;229;172;108.2159587;19.66503501
287;232;171;106.255108;19.74232745
288;237;170;105.6840537;19.81041908
289;241;171;104.367966;19.8836956
290;247;174;102.5502424;19.94911528
291;252;176;100.9547746;19.99818945
292;256;180;99.93058827;20.04706621
293;261;186;97.59579881;20.13514709
294;265;192;96.62463596;20.21581626
295;268;199;96.62463596;20.28856397
296;270;207;95.52655299;20.33242917
297;271;214;96.62463596;20.39794087
298;272;223;101.1608856;20.46763039
299;271;232;101.6754207;20.52367401
300;269;240;99.24526533;20.5800395
301;266;247;100.9547746;20.64408731
302;262;253;99.75504321;20.7096355
303;257;257;102.7278612;20.76948452
304;250;258;104.5683558;20.81054664
305;245;258;103.8127916;20.84892917
306;240;256;104.367966;20.8889761
307;235;252;107.0498581;20.94495487
308;231;246;107.0498581;21.00393653
309;228;240;105.6840537;21.06550622
310;224;232;104.931909;21.09753704
311;222;224;106.255108;21.12954068
312;221;214;107.6282925;21.16917777
313;220;203;106.255108;21.2156713
314;220;192;107.0498581;21.26428723
315;221;180;107.0498581;21.31230664
316;222;169;109.9436838;21.37261295
317;225;156;108.4685725;21.43289971
318;227;145;107.6282925;21.49597526
319;228;133;107.6282925;21.5471766
320;229;122;107.6282925;21.6111412
321;231;115;106.8352765;21.67512918
