;t;x;y;z
1;22.00317931;229.0;77.0;110.0368642
0;22.12529349;227.0;77.5;107.167272425
1;22.18757033;226.0;79.0;106.6787133
0;22.28371787;227.0;88.75;105.98389060000001
1;22.33180308;227.0;96.0;106.4804176
0;22.436078965;226.75;116.25;103.8339908
1;22.48406816;227.0;129.0;104.0232671
0;22.6047996875;223.0;157.25;105.44237185
1;22.66803455;221.0;174.0;109.3588499
0;22.798370955;217.5;201.0;106.4108448
1;22.86847758;215.0;214.0;106.4804176
0;22.990855635000003;207.0;231.0;105.32323365
1;23.06086016;202.0;236.0;103.0986649
0;23.16963333;191.25;237.5;104.19963824999999
1;23.23058534;186.0;236.0;102.9831695
0;23.381403622500002;176.5;226.75;105.75482735
1;23.4494822;173.0;221.0;106.6787133
0;23.57590467;166.25;207.75;107.46916675
1;23.62979722;164.0;201.0;107.8915853
0;23.7754893925;162.0;188.25;109.414790675
1;23.8472085;161.0;181.0;108.6329498
0;23.984980645;164.0;168.75;110.27727605
1;24.05615163;167.0;163.0;113.0114362
0;24.199981335;178.0;155.0;107.32973327500001
1;24.25826526;184.0;155.0;106.8352765
0;24.403192994999998;192.5;168.5;108.7173452
1;24.47574687;198.0;195.0;118.370516
0;24.615158082500002;191.0;214.5;108.0761966
1;24.68600464;183.0;224.0;105.5048526
0;24.8107312925;167.25;230.5;101.88385815
1;24.87978959;161.0;231.0;100.6898561
0;25.01775044;150.5;225.75;101.7043334975
1;25.09007168;146.0;221.0;102.4239199
0;25.2290626175;143.75;208.75;105.41239595
1;25.30709791;145.0;202.0;108.2159587
0;25.439517374999998;154.0;188.75;109.43252142499999
1;25.49987888;161.0;183.0;110.5377547
0;25.63820708;187.0;168.0;105.14812724999999
1;25.72160792;196.0;165.0;101.4785067
0;25.84873396;195.75;167.25;103.24301915000001
1;25.9256618;194.0;169.0;102.1976812
0;26.0831503875;183.5;172.5;101.93991245
1;26.16207314;176.0;173.0;100.2725514
0;26.2864649275;157.0;171.25;103.28930825
1;26.35578918;135.0;165.0;102.0102607
0;26.52422327;129.0;158.5;104.36191637499999
1;26.6128912;127.0;154.0;103.6557493
0;26.765199005000003;133.25;146.25;106.65248305
1;26.84493184;138.0;143.0;106.255108
0;27.008749010000002;155.75;137.5;105.72596095
1;27.09493041;170.0;137.0;104.0232671
0;27.23258263;175.75;139.25;103.45713520000001
1;27.30569959;176.0;139.0;102.7278612
0;27.435843767499996;170.25;143.25;103.18798485
1;27.49250007;164.0;146.0;104.5683558
0;27.617467345;143.75;150.0;103.25184705000001
1;27.68756914;132.0;152.0;104.8238046
0;27.8448593;104.25;155.5;103.634948025
1;27.92237186;87.0;157.0;104.2881238
0;28.08266139;75.5;157.75;105.32564539999998
1;28.14698768;72.0;157.0;103.4864014
0;28.269304695;71.5;156.25;105.0354128
1;28.34300971;72.0;156.0;105.6702374
0;28.4896392825;73.5;156.0;103.3848275
1;28.56784725;74.0;156.0;101.923141
0;28.69970089;76.0;158.0;103.242227725
1;28.76281834;77.0;159.0;102.7278612
0;28.8926692025;80.5;162.5;102.65480120000001
1;28.93298483;83.0;165.0;101.923141
0;29.0200178025;88.5;170.0;101.1014613
1;29.06200409;95.0;175.0;100.154247
0;29.15529752;120.0;191.75;93.410022025
1;29.19960523;139.0;204.0;94.59382947
0;29.392877935;209.75;242.25;89.63974654749998
1;29.56481004;297.0;286.0;87.99749315
0;29.679683564999998;352.5;306.0;79.3889034975
1;29.74185014;383.0;317.0;76.12460676
0;29.8725876825;419.75;332.25;74.82161482750001
1;29.9440558;441.0;339.0;73.44116101
0;30.090888319999998;479.0;356.25;77.6446789275
1;30.1632247;497.0;364.0;78.71623688
0;30.2905580425;525.75;378.25;83.12195660750001
1;30.35875607;534.0;383.0;86.08584783
0;30.513138115;542.75;387.75;90.504289375
1;30.58600688;546.0;389.0;91.50021475
0;30.7083537575;548.0;389.0;92.3213139275
1;30.77523851;549.0;389.0;91.50021475
0;30.917451144999998;548.75;387.0;92.29064106999999
1;30.99258995;548.0;385.0;92.41107002
0;31.134182155;541.25;374.25;88.6692380325
1;31.20255041;536.0;368.0;86.74569392
0;31.3439718475;521.0;351.0;83.0981676275
1;31.40655708;512.0;341.0;80.79114135
0;31.5589941125;485.0;315.25;76.34485970749999
1;31.62686753;469.0;301.0;74.65247944
0;31.7621009325;439.75;291.5;76.4606875675
1;31.82160258;408.0;306.0;87.69161077
0;32.070385217500004;270.5;191.25;91.06606343499999
1;32.22586656;104.0;68.0;87.07336285
