;t;x;y;z
1;5.561941862106323;448.0;136.0;92.90023925249231
0;5.624638557434082;461.25;136.0;91.59971542885839
1;5.655810594558716;468.0;139.0;90.55347466970234
0;5.7166947722435;488.25;160.0;90.9761994999824
1;5.743446588516235;496.0;172.0;91.98456245712542
0;5.810852646827698;499.75;196.5;92.9100025726669
1;5.842859268188477;499.0;208.0;93.09040656573727
0;5.907031416893005;488.25;224.0;90.30677738349297
1;5.937052011489868;479.0;231.0;89.52400880862285
0;5.999448537826538;455.75;235.0;91.0152229045403
1;6.030176162719727;452.0;235.0;91.20237971177967
0;6.092700183391571;416.5;225.75;90.72848085587098
1;6.123121976852417;402.0;216.0;89.86622067984888
0;6.186186075210571;385.5;193.5;90.91103990616375
1;6.216293811798096;380.0;183.0;91.45490544547562
0;6.279278934001923;374.75;160.25;92.99858852568222
1;6.310527086257935;374.0;150.0;91.4458514523024
0;6.37214732170105;373.75;133.25;94.04233004219164
1;6.402808666229248;374.0;126.0;94.4641669208035
0;6.466798365116119;375.0;121.0;94.77461138348265
1;6.496675968170166;375.0;118.0;95.41361515666432
0;6.559032201766968;373.75;119.5;93.81604180018226
1;6.590951681137085;373.0;122.0;93.43559410662974
0;6.653390645980835;371.0;129.5;92.61504721348666
1;6.684365749359131;370.0;135.0;92.52328675498215
0;6.74589216709137;369.0;151.75;90.2520392555981
1;6.776054382324219;369.0;163.0;90.14276015710126
0;6.837697446346283;369.0;189.5;89.57935627400715
1;6.868301868438721;368.0;204.0;88.75115910358684
0;6.931379973888397;364.75;228.25;89.86215141652892
1;6.9616711139678955;364.0;234.0;90.5270952697232
0;7.024165749549866;361.25;232.5;90.20640831656529
1;7.054563522338867;360.0;230.0;90.55347466970234
0;7.119722962379456;358.75;225.5;91.56892233067308
1;7.150597810745239;357.0;220.0;91.91097298626548
0;7.211529314517975;350.0;198.0;93.13450059480918
1;7.241809606552124;349.0;194.0;92.90023925249231
0;7.304787456989288;341.25;169.5;92.1909406726574
1;7.335871696472168;337.0;156.0;91.02324701103906
0;7.398053169250488;328.25;132.75;93.70920702633317
1;7.428127288818359;325.0;123.0;95.52655299083888
0;7.490341901779175;319.25;109.25;95.40912659998165
1;7.522046327590942;318.0;104.0;95.05684742740992
0;7.583083629608154;318.0;102.25;93.83710664856602
1;7.614635467529297;318.0;102.0;93.54181655986113
0;7.678483486175537;320.5;110.0;92.55623185429809
1;7.707990884780884;323.0;115.0;91.63653734736693
0;7.769772708415985;329.25;133.25;90.0506703929473
1;7.800753593444824;333.0;144.0;89.38818674813754
0;7.900385141372681;342.25;203.25;87.60441237727154
1;7.9405176639556885;344.0;222.0;88.30651533892363
0;8.002110064029694;340.25;225.0;88.76368831805878
1;8.03291916847229;331.0;224.0;89.63480951074729
0;8.096460402011871;321.25;220.75;91.7006547853361
1;8.126458883285522;317.0;218.0;93.33933358069082
0;8.190341293811798;308.5;207.75;95.63834989171822
1;8.224936723709106;306.0;202.0;95.41361515666432
0;8.283241391181946;304.0;177.25;93.82072005915983
1;8.314252853393555;304.0;166.0;95.05684742740992
0;8.377310276031494;305.75;161.75;94.49752254110527
1;8.407809734344482;306.0;162.0;94.4641669208035
0;8.47104799747467;308.5;168.75;93.42896406133018
1;8.50157356262207;310.0;173.0;93.09040656573727
0;8.56403249502182;311.0;194.0;93.47103139541169
1;8.596133470535278;312.0;210.0;93.99968512638935
0;8.656868040561676;310.5;226.5;96.11190678779617
1;8.68796682357788;308.0;235.0;95.89891794883938
0;8.750022768974304;306.75;237.75;94.84084017202011
1;8.781102418899536;305.0;240.0;95.31128236711996
0;8.843486905097961;298.75;237.5;96.22008822399322
1;8.875705480575562;295.0;235.0;96.89156598899176
0;8.936787188053131;286.0;231.0;99.34731544140487
1;8.967854499816895;281.0;229.0;100.15424699816303
0;9.029348969459534;268.75;221.5;101.22085575772901
1;9.060257911682129;262.0;217.0;98.59605597231092
0;9.16796875;237.0;195.0;103.2559551392377
1;9.197994232177734;232.0;190.0;104.5683557529708
0;9.259700298309326;228.25;182.75;106.6547315351589
1;9.290283203125;227.0;179.0;107.6282924720741
0;9.353326320648193;229.5;172.75;107.7257460276735
1;9.384638786315918;232.0;171.0;106.25510802529332
0;9.44663816690445;241.5;171.5;103.96496978169509
1;9.47786259651184;247.0;174.0;102.55024235070279
0;9.540339410305023;256.25;180.5;99.60293749916744
1;9.57244873046875;261.0;186.0;97.59579881196974
0;9.634806454181671;267.75;199.25;96.35011521458782
1;9.66679859161377;270.0;207.0;95.52655299083888
0;9.730433940887451;271.5;223.0;100.15545695015507
1;9.762550830841064;271.0;232.0;101.67542072495031
0;9.82246333360672;265.75;246.75;100.22746445496598
1;9.85469126701355;262.0;253.0;99.75504321366395
0;9.915960490703583;250.5;257.75;103.91934107711728
1;9.947085857391357;245.0;258.0;103.81279155715201
0;10.008161902427673;235.25;251.5;106.37938507986587
1;10.040398597717285;231.0;246.0;107.04985810598478
0;10.102816939353943;224.25;232.0;105.45074492310165
1;10.13445234298706;222.0;224.0;106.25510802529332
0;10.195845365524292;220.25;203.0;106.45379554546619
1;10.227033138275146;220.0;192.0;107.04985810598478
0;10.289752185344696;222.5;168.5;108.7072027633073
1;10.32114863395691;225.0;156.0;107.89158527515917
0;10.383088231086731;228.0;133.25;107.6282924720741
1;10.414246082305908;229.0;122.0;107.6282924720741
0;10.47624295949936;230.25;106.75;107.77621633376967
1;10.506905794143677;230.0;98.0;109.41998350408608
0;10.570239663124084;229.25;85.5;108.63294983432107
1;10.601288795471191;229.0;80.0;108.63294983432107
0;10.66281121969223;228.0;77.0;108.49536929476909
1;10.694372415542603;227.0;77.0;106.67871326773579
0;10.755617141723633;227.0;83.25;106.13421043700899
1;10.78663182258606;227.0;88.0;105.68405366177355
0;10.848793387413025;226.5;105.0;104.25900213200214
1;10.879644632339478;227.0;116.0;104.02326706509257
0;10.942824125289917;225.0;142.0;103.18542922562762
1;10.974583625793457;223.0;157.0;105.36760838751731
0;11.036364734172821;219.25;187.75;107.48138717393655
1;11.06749939918518;218.0;201.0;105.91974151139699
0;11.129565834999084;211.5;223.5;106.02590824170382
1;11.16091537475586;207.0;232.0;106.25510802529332
0;11.222004115581512;196.75;237.5;104.0847359881804
1;11.252238988876343;191.0;238.0;104.79682930594035
0;11.314442336559296;181.0;231.75;103.90705544989996
1;11.345710515975952;176.0;227.0;106.67871326773579
0;11.4080091714859;169.25;214.25;107.20211452321378
1;11.439318656921387;166.0;208.0;107.2801394545014
0;11.501997709274292;163.0;195.25;109.5469232791558
1;11.532449722290039;162.0;188.0;109.25210603135503
0;11.594269573688507;161.75;174.5;108.67942332900145
1;11.625500917434692;164.0;169.0;110.03686424269844
0;11.688514947891235;172.25;157.75;109.51561155000897
1;11.719465255737305;178.0;154.0;107.42480268530896
0;11.78142261505127;188.0;157.75;106.94397876657409
1;11.812548637390137;192.0;162.0;105.68405366177355
0;11.876342594623566;196.0;204.5;112.42399386635122
1;11.91166067123413;192.0;215.0;107.42480268530896
0;11.96776419878006;175.0;228.25;103.72651550193935
1;11.998067378997803;167.0;231.0;101.8734557855223
0;12.061801433563232;155.75;229.25;100.55123115538272
1;12.091513872146606;150.0;226.0;102.42391992308598
0;12.168248355388641;144.25;215.0;103.47377788045763
1;12.212037563323975;143.0;209.0;105.50485257750188
0;12.281548857688904;149.0;195.5;108.9961963880961
1;12.311960458755493;153.0;188.0;108.46857246534542
0;12.374853312969208;172.25;175.5;108.97534700427181
1;12.407575607299805;192.0;165.0;104.2881238225419
0;12.470889508724213;196.5;166.0;102.73937407191866
1;12.502786874771118;196.0;167.0;104.02326706509257
0;12.567277193069458;189.5;171.0;101.70877293423311
1;12.597620725631714;184.0;173.0;102.72786124537551
0;12.659801304340363;169.0;173.5;102.21535713155055
1;12.688876390457153;162.0;173.0;104.5683557529708
0;12.752459228038788;131.5;162.0;104.65671131814048
1;12.781446695327759;129.0;159.0;103.65574932662852
0;12.843132734298706;129.5;150.0;106.12299578981032
1;12.874939203262329;133.0;146.0;107.04985810598478
0;12.937711894512177;145.5;139.5;106.00358313987107
1;12.969379186630249;154.0;137.0;105.91974151139699
0;13.03074711561203;174.0;138.25;104.10653512337619
1;13.061893701553345;176.0;140.0;103.26616192247057
0;13.124396800994873;174.25;141.0;102.72786124537551
1;13.155664205551147;171.0;143.0;102.72786124537551
0;13.21849250793457;154.5;148.25;103.59171038009563
1;13.251031160354614;144.0;151.0;103.26616192247057
0;13.310851335525513;118.5;153.5;103.11569246367077
1;13.342155456542969;106.0;156.0;104.2881238225419
0;13.404579997062683;80.5;157.75;104.90709990814462
1;13.436520338058472;75.0;158.0;106.76402816495279
0;13.496686518192291;71.75;156.75;104.48945379306006
1;13.527634859085083;71.0;156.0;104.8238045822405
0;13.58940076828003;72.5;156.0;104.93108278089612
1;13.620843410491943;74.0;156.0;103.24034136975865
0;13.682509064674377;75.0;157.0;103.17105403287717
1;13.713316440582275;76.0;158.0;103.24034136975865
0;13.776058554649353;78.75;160.75;102.98410130756707
1;13.806629657745361;80.0;162.0;102.72786124537551
0;13.8680060505867;85.75;167.75;101.54368475570405
1;13.898667573928833;86.0;168.0;101.41719935459244
0;13.960034310817719;105.75;182.0;95.16922600148098
1;13.989864110946655;118.0;191.0;92.52328675498215
0;14.052052795886993;163.25;218.5;93.30110862001867
1;14.08277416229248;190.0;232.0;89.2192532110577
0;14.192858338356018;323.0;295.25;83.93265449952864
1;14.222991704940796;353.0;305.0;78.54157343824082
0;14.286325216293335;404.0;327.5;76.755968605561
1;14.317706823348999;413.0;330.0;76.8877526055199
0;14.379077911376953;460.5;348.25;76.10888480813132
1;14.40960693359375;479.0;356.0;77.31657622186232
0;14.47124719619751;512.0;371.0;80.39319864790977
1;14.502087593078613;529.0;380.0;83.31579982812373
0;14.56527030467987;538.75;385.75;88.81859776411108
1;14.596568584442139;543.0;388.0;90.615114085622
0;14.68950241804123;547.0;389.0;92.55023312636045
1;14.721028804779053;548.0;389.0;92.90023925249231
0;14.78323358297348;549.0;388.5;91.94249830117249
1;14.814728021621704;549.0;387.0;92.41107001734609
0;14.876639425754547;545.75;381.0;90.72789240862892
1;14.90827202796936;541.0;373.0;88.45400559509147
0;14.968889713287354;529.25;360.25;85.08807851121844
1;14.999294996261597;521.0;351.0;83.19881272565748
0;15.061459362506866;499.75;329.0;78.27218668207286
1;15.09279465675354;485.0;315.0;76.38543779972136
0;15.155426859855652;455.25;289.25;72.9136035174651
1;15.185786724090576;450.0;288.0;73.10011479407966
0;15.260238349437714;372.75;253.25;85.45499045557851
1;15.328688621520996;290.0;226.0;104.554961434055
